amount,hour,distance_km,device_score,international,merchant_risk,is_fraud
1025.09,15,0,0.724,0,0.153,0
2685.98,14,12.53,0.899,0,0.431,0
2420.38,9,0,0.76,0,0.397,0
2214.79,2,24.82,0.846,0,0.269,0
9914.92,23,41.1,0.646,0,0.194,0
2059.41,19,7.41,0.842,0,0.213,0
415.0,14,9.11,0.832,0,0.41,0
1707.16,3,19.03,0.933,0,0.141,0
6359.4,12,0,0.336,0,0.076,0
3411.86,0,7.86,0.745,0,0.096,0
5712.1,17,25.96,0.75,0,0.42,0
1970.97,16,9.86,0.799,0,0.379,0
3294.49,1,0,0.725,0,0.11,0
155.22,1,18.92,0.782,0,0.076,1
2599.66,11,0,0.828,0,0.29,0
828.26,3,13.85,0.74,0,0.642,0
240.89,11,0,0.45,0,0.097,0
1570.22,14,5.95,0.819,0,0.131,0
2077.38,8,5.03,0.92,0,0.294,0
4850.55,17,0,0.572,0,0.354,0
572.57,17,29.36,0.495,0,0.382,0
1594.15,4,30.68,0.813,0,0.468,1
769.86,22,13.59,0.937,0,0.163,0
2620.5,5,43.98,0.767,0,0.059,0
1210.95,15,22.44,0.887,0,0.385,0
1306.87,22,0,0.804,0,0.377,0
955.84,16,0,0.818,0,0.399,0
2724.15,0,14.38,0.637,0,0.209,0
411.47,17,0,0.664,0,0.53,0
1656.72,19,52.31,0.541,0,0.273,1
1300.35,13,0,0.973,0,0.43,0
392.24,19,0,0.806,0,0.282,0
2584.99,23,4.68,0.827,0,0.253,0
3654.33,15,0,0.673,0,0.276,0
3615.77,3,0,0.61,0,0.239,0
4417.06,7,0,0.583,0,0.237,0
2366.42,23,10.44,0.973,0,0.335,0
5436.63,14,4.66,0.888,0,0.373,0
2906.25,5,0,0.826,1,0.299,0
2132.07,11,0,0.933,0,0.232,0
4955.22,19,14.86,0.676,0,0.378,0
5087.43,16,45.05,0.793,0,0.419,0
786.04,18,0,0.907,0,0.375,0
504.99,22,10.25,0.673,0,0.28,0
918.86,21,13.65,0.446,0,0.289,0
1661.69,6,2.32,0.961,0,0.41,0
3590.0,7,0,0.805,0,0.186,0
3259.87,5,1.79,0.803,0,0.438,0
759.42,15,8.61,0.805,0,0.28,0
1117.95,6,18.7,0.55,1,0.416,0
4903.2,0,10.31,0.71,0,0.492,0
1526.48,9,17.46,0.725,0,0.295,0
791.42,18,0,0.743,0,0.452,0
2900.76,5,0.56,0.93,0,0.527,0
741.37,1,0,0.804,0,0.041,1
9354.88,5,0,0.842,0,0.263,0
406.29,2,0,0.865,1,0.206,0
413.37,1,0,0.61,0,0.157,0
817.16,18,15.55,0.827,1,0.301,0
823.01,0,0,0.821,0,0.21,0
1129.7,2,15.55,0.711,1,0.023,1
680.29,17,12.28,0.931,0,0.784,0
4321.12,7,0,0.833,1,0.26,0
564.62,19,4.0,0.836,0,0.217,0
3218.37,15,0,0.787,0,0.098,0
11207.86,14,43.66,0.958,0,0.445,1
1456.61,14,25.11,0.739,0,0.271,0
2343.53,20,7.0,0.693,0,0.028,0
2272.02,12,0,0.878,1,0.553,0
1902.88,3,13.2,0.835,0,0.091,0
925.72,17,0,0.923,0,0.437,1
913.75,22,15.45,0.817,0,0.175,0
2858.07,11,0,0.504,0,0.471,0
658.16,19,21.31,0.832,0,0.344,0
1008.42,1,32.52,0.819,0,0.194,0
3118.73,7,0,0.715,0,0.408,0
496.69,1,9.02,0.576,0,0.326,0
3542.97,23,0,0.697,0,0.179,0
797.35,10,20.37,0.786,0,0.134,0
4408.47,4,6.36,0.51,0,0.353,0
12184.09,2,0,0.83,0,0.718,0
17214.48,17,22.31,0.56,0,0.306,0
120.16,8,19.81,0.557,0,0.436,0
1056.11,18,15.85,0.974,0,0.137,0
122.12,4,0,0.838,0,0.163,0
1586.47,3,26.47,0.544,0,0.33,0
497.7,6,7.83,0.839,0,0.444,0
868.98,15,0,0.928,0,0.378,0
2119.46,8,13.27,0.948,0,0.392,0
5000.14,7,11.05,0.67,0,0.589,0
2159.01,23,7.16,0.848,0,0.505,0
14344.03,3,22.44,0.937,0,0.4,0
5163.9,23,2.03,0.799,0,0.248,0
490.41,14,0,0.903,0,0.16,0
4337.41,7,28.37,0.476,1,0.242,0
52.02,4,36.24,0.521,0,0.58,0
332.9,13,3.85,0.753,0,0.217,0
1252.26,11,1.23,0.898,0,0.739,0
708.19,11,4.22,0.872,0,0.491,0
3345.27,6,10.88,0.798,0,0.292,0
1330.98,14,40.36,0.766,0,0.281,0
3000.75,20,18.66,0.71,0,0.066,0
1058.81,15,0,0.958,1,0.528,0
828.15,7,24.09,0.497,0,0.635,0
10456.32,18,35.07,0.826,1,0.223,1
4950.03,10,0,0.976,0,0.308,0
6309.97,3,1.15,0.771,0,0.284,0
4287.11,23,19.33,0.711,0,0.213,0
597.9,15,23.74,0.865,1,0.252,0
1135.27,8,27.18,0.966,0,0.157,0
3132.01,7,11.06,0.897,1,0.103,0
322.5,19,13.01,0.881,0,0.303,0
6265.62,17,6.83,0.682,0,0.278,0
810.91,2,20.14,0.617,0,0.205,0
1564.31,8,0.1,0.746,0,0.657,0
10378.67,7,4.63,0.772,0,0.544,0
3298.2,13,28.04,0.868,0,0.607,0
6433.64,0,18.75,0.827,0,0.091,0
2028.71,9,28.79,0.816,0,0.376,0
2538.47,15,0,0.985,0,0.15,0
1027.84,8,5.28,0.656,0,0.16,0
4950.01,18,0,0.912,0,0.283,0
1050.06,5,24.5,0.572,0,0.233,0
3261.33,4,3.82,0.985,0,0.17,0
1272.27,14,2.15,0.986,0,0.478,0
1717.01,8,25.22,0.882,0,0.141,0
6584.23,21,4.51,0.678,0,0.474,0
2830.3,21,15.46,0.882,0,0.145,0
13085.71,7,0,0.807,0,0.279,0
6512.99,10,27.54,0.899,0,0.587,0
585.73,13,0,0.873,1,0.297,0
441.22,11,30.19,0.736,1,0.068,0
1251.65,4,0,0.789,0,0.106,0
2353.88,20,34.96,0.935,0,0.427,0
255.51,20,23.65,0.588,0,0.255,0
6371.82,13,8.92,0.735,0,0.26,0
426.4,23,2.62,0.958,0,0.547,0
2621.99,14,0,0.871,0,0.217,0
3985.97,4,6.27,0.587,0,0.493,0
1534.58,8,3.08,0.762,0,0.263,0
1641.49,20,0,0.951,0,0.523,0
667.23,20,26.98,0.927,0,0.118,0
449.79,1,7.74,0.583,0,0.323,0
2361.19,15,7.9,0.835,0,0.01,0
1412.98,5,0,0.897,0,0.426,0
1506.49,16,9.33,0.661,0,0.405,0
635.78,19,0,0.825,0,0.297,0
8470.25,16,0,0.491,0,0.316,0
1839.76,10,1.75,0.711,0,0.436,0
3322.21,17,0,0.827,0,0.518,0
3696.61,21,22.07,0.67,1,0.283,0
497.63,22,12.28,0.788,0,0.212,0
1245.02,17,7.21,0.955,0,0.317,0
1975.07,22,16.85,0.87,0,0.414,0
1146.35,6,27.81,0.642,1,0.186,0
663.11,3,1.61,0.84,0,0.243,0
608.12,3,26.62,0.944,0,0.08,0
2969.19,14,40.59,0.764,0,0.316,0
1101.6,9,10.92,0.678,0,0.411,0
12876.85,4,0,0.66,1,0.07,1
262.92,23,0,0.915,0,0.1,0
1553.06,9,20.86,0.906,0,0.297,0
647.32,10,0,0.841,0,0.174,0
1629.7,9,0,0.709,0,0.612,0
9168.98,18,0,0.816,0,0.401,0
3651.82,16,0,0.779,0,0.61,0
3940.81,11,32.58,0.833,0,0.279,0
2391.48,16,14.38,0.689,0,0.21,0
808.73,11,0,0.919,1,0.479,0
768.79,10,9.42,0.827,0,0.104,0
2052.6,8,23.98,0.694,0,0.597,0
1728.93,13,0,0.728,0,0.196,0
775.64,16,0,0.729,0,0.006,0
15096.78,13,0,0.538,0,0.358,0
1710.34,2,1.63,0.654,0,0.428,0
2550.23,17,38.03,0.849,0,0.251,0
978.79,11,10.29,0.87,0,0.204,0
511.63,20,0,0.713,0,0.207,0
39180.81,5,0,0.943,0,0.374,1
3779.11,12,0,0.972,0,0.293,0
3623.26,6,0,0.778,1,0.282,0
1537.52,15,12.28,0.843,1,0.3,0
9059.26,0,4.43,0.592,0,0.202,0
238.33,7,0,0.91,0,0.518,0
3720.2,17,36.11,0.463,0,0.134,0
2944.96,16,0.4,0.824,0,0.399,0
550.73,10,0,0.806,0,0.159,0
1319.57,18,30.8,0.807,0,0.193,0
593.99,20,0,0.813,0,0.44,0
1046.3,8,5.45,0.807,0,0.312,0
975.17,23,2.27,0.74,0,0.393,0
4493.42,12,9.98,0.685,0,0.614,0
1960.36,12,0,0.884,0,0.177,0
99.18,15,0.51,0.908,0,0.256,0
3010.65,11,0,0.693,1,0.439,0
3393.31,15,9.24,0.556,0,0.186,0
5100.69,12,9.12,0.644,0,0.178,0
527.56,14,13.99,0.936,0,0.077,0
551.26,10,0,0.935,0,0.174,0
899.87,0,20.65,0.793,0,0.262,0
2830.02,10,21.15,0.936,0,0.186,0
1604.98,8,28.33,0.881,0,0.528,0
1799.21,10,54.34,0.741,0,0.082,0
330.47,11,0,0.967,0,0.288,0
1194.92,19,24.39,0.737,0,0.007,0
361.17,21,0,0.8,0,0.235,0
2679.22,15,0,0.67,0,0.146,0
833.11,19,4.23,0.921,0,0.532,0
2338.78,23,0,0.762,0,0.097,0
2081.63,11,0,0.888,0,0.197,0
3467.35,14,0,0.786,0,0.272,0
10673.64,8,12.89,0.933,0,0.243,0
2383.08,6,5.63,0.674,0,0.181,0
3671.13,13,0,0.689,1,0.52,0
537.77,7,20.83,0.948,0,0.131,0
914.44,13,26.42,0.935,0,0.329,0
1471.84,10,0,0.875,0,0.292,0
562.53,4,26.15,0.986,1,0.357,0
1899.57,15,0,0.855,0,0.255,0
601.3,2,0,0.529,0,0.032,0
167.21,17,16.5,0.972,0,0.379,0
880.35,12,13.25,0.847,0,0.441,0
5133.52,17,22.75,0.894,0,0.608,0
3332.44,5,24.06,0.815,0,0.471,0
5009.13,6,15.51,0.897,0,0.196,0
1818.25,22,13.96,0.844,0,0.134,0
1371.34,22,0.48,0.94,0,0.151,0
1920.11,1,22.79,0.959,0,0.188,0
1508.68,2,6.74,0.755,0,0.24,0
1622.74,22,0.76,0.914,1,0.594,0
491.76,1,11.79,0.911,0,0.469,0
2301.63,4,0,0.604,0,0.169,0
645.83,6,16.1,0.601,0,0.396,0
3845.48,22,10.57,0.793,0,0.161,0
17501.45,17,23.53,0.753,0,0.144,0
4205.54,22,14.71,0.809,0,0.206,0
1772.0,19,9.35,0.719,0,0.171,0
3505.56,20,20.35,0.526,0,0.313,0
783.96,10,23.13,0.908,0,0.552,0
366.94,18,0,0.808,0,0.521,0
7134.55,18,0.39,0.761,0,0.118,0
738.5,1,2.04,0.849,0,0.148,0
3125.31,3,23.49,0.711,0,0.271,0
354.77,21,0,0.912,0,0.254,0
2017.26,17,0.26,0.784,1,0.36,0
2520.67,1,18.61,0.524,0,0.436,1
18400.19,2,32.84,0.591,0,0.211,1
17994.6,12,3.85,0.777,0,0.436,0
1014.43,18,12.87,0.89,0,0.327,0
6733.92,10,13.02,0.739,0,0.316,0
16686.93,3,0,0.901,1,0.073,0
2434.9,4,0,0.945,0,0.331,0
7219.66,9,38.72,0.777,0,0.662,0
2719.64,22,0,0.734,0,0.069,0
1728.55,4,26.54,0.598,0,0.134,0
460.53,18,18.91,0.674,0,0.584,0
65806.65,2,23.25,0.84,1,0.238,1
559.36,0,26.94,0.784,0,0.094,0
2022.29,15,0,0.813,1,0.428,0
2776.02,5,0,0.731,0,0.332,0
609.06,12,9.22,0.695,0,0.173,0
1969.43,22,24.11,0.742,0,0.533,0
412.34,11,23.35,0.91,1,0.278,0
2174.61,10,3.66,0.841,0,0.288,0
276.59,6,28.36,0.755,0,0.403,0
4903.26,13,1.45,0.686,0,0.211,0
3457.52,2,0,0.801,0,0.081,0
325.81,8,9.79,0.819,0,0.407,0
838.42,22,15.13,0.841,0,0.541,0
475.13,9,0,0.963,0,0.351,0
4256.68,4,11.32,0.687,0,0.784,0
3406.08,6,8.76,0.851,0,0.211,0
2677.71,5,0,0.949,1,0.551,0
16225.28,12,0,0.705,0,0.434,0
628.4,22,1.84,0.883,0,0.606,0
2253.04,22,14.57,0.765,0,0.554,0
3785.38,0,0,0.813,0,0.119,0
1790.89,1,4.53,0.773,0,0.584,1
794.42,18,3.41,0.675,1,0.463,0
1409.91,4,16.87,0.856,0,0.197,1
2120.25,3,17.91,0.513,0,0.081,0
4718.94,8,0,0.559,0,0.046,0
694.21,22,15.13,0.97,0,0.099,0
582.36,18,0,0.608,0,0.564,0
445.5,8,1.38,0.709,0,0.072,0
4259.25,17,0,0.936,0,0.429,0
1274.94,21,3.56,0.751,0,0.34,0
563.19,5,10.34,0.901,0,0.278,0
10428.08,4,0,0.51,0,0.179,0
3298.22,17,10.56,0.907,0,0.373,0
2992.69,5,20.27,0.869,0,0.339,0
1120.72,5,0,0.968,0,0.124,0
11953.51,14,4.13,0.69,1,0.391,0
596.57,8,14.21,0.466,0,0.278,0
969.53,13,0,0.913,0,0.174,0
1295.67,10,18.59,0.675,0,0.238,0
1142.42,1,13.62,0.678,0,0.11,0
2684.17,5,0,0.869,0,0.405,0
1573.58,3,0,0.808,0,0.059,0
668.91,2,25.43,0.894,0,0.208,0
4995.72,3,0,0.786,0,0.101,0
14198.58,22,5.0,0.84,0,0.133,0
3578.92,22,0,0.556,0,0.171,0
363.2,13,31.33,0.962,0,0.056,0
781.82,2,23.16,0.792,0,0.555,0
2142.29,9,27.68,0.981,0,0.382,0
1376.72,13,40.9,0.855,0,0.367,0
2311.99,14,36.22,0.47,0,0.025,0
2538.56,12,0,0.605,0,0.587,0
282.98,20,19.72,0.921,0,0.217,0
2349.87,9,3.14,0.468,0,0.455,0
9722.0,1,3.32,0.931,0,0.588,0
803.69,18,0,0.821,0,0.275,0
4373.28,23,0,0.741,0,0.105,0
21084.18,3,6.43,0.64,0,0.214,1
2829.75,16,10.55,0.93,0,0.203,0
7240.42,2,4.03,0.769,0,0.143,0
2707.89,13,0,0.778,0,0.021,0
737.06,17,18.63,0.936,0,0.298,0
12360.48,13,0,0.873,0,0.401,0
101.03,13,5.51,0.802,0,0.375,0
6685.8,13,4.71,0.71,0,0.478,0
4864.43,15,16.28,0.753,0,0.454,0
7583.86,8,0.66,0.923,0,0.12,0
1296.7,20,28.02,0.831,0,0.358,0
215.86,12,3.76,0.92,0,0.297,0
8119.71,1,7.08,0.733,0,0.409,0
498.21,23,14.06,0.854,1,0.39,0
4541.74,20,10.4,0.871,0,0.115,0
1504.55,12,0,0.94,0,0.21,0
2726.86,12,0,0.844,1,0.153,0
994.65,8,0,0.891,0,0.41,0
618.13,7,0,0.908,0,0.319,0
1237.45,11,24.64,0.808,0,0.324,0
713.79,16,0,0.738,0,0.145,0
1577.5,23,12.77,0.598,1,0.304,0
772.48,15,0.93,0.867,0,0.38,0
755.87,3,9.92,0.847,0,0.073,0
5661.03,23,40.68,0.909,0,0.488,1
3899.65,0,7.96,0.723,0,0.196,0
271.63,11,0,0.842,0,0.503,0
1085.15,7,6.62,0.745,0,0.114,0
1141.18,13,6.68,0.878,0,0.324,0
2523.49,5,12.5,0.833,0,0.307,0
1051.33,19,6.69,0.806,0,0.227,0
294.46,19,30.4,0.653,0,0.131,0
3329.12,9,9.05,0.785,1,0.322,0
1310.15,22,0,0.766,0,0.186,0
4091.42,1,0,0.75,0,0.5,0
1269.89,7,5.22,0.694,0,0.438,0
1142.78,5,0,0.935,0,0.15,1
4973.46,5,0,0.693,0,0.101,0
14983.19,17,7.06,0.744,0,0.414,0
10113.63,11,16.54,0.716,0,0.123,0
1505.3,0,8.8,0.92,0,0.338,0
171.26,13,35.29,0.815,0,0.44,0
857.76,13,31.45,0.755,0,0.323,0
488.28,11,17.53,0.689,0,0.264,0
4050.85,6,12.61,0.68,0,0.302,0
2284.49,17,3.72,0.656,0,0.266,0
719.51,23,21.64,0.676,0,0.469,0
6378.7,4,8.45,0.896,0,0.215,0
1554.81,16,0,0.803,0,0.312,0
1835.01,14,19.01,0.815,0,0.227,0
933.55,4,20.55,0.391,0,0.238,0
1546.49,19,23.6,0.601,0,0.241,0
258.86,10,0,0.815,0,0.261,0
2041.88,19,0,0.66,1,0.478,0
2089.41,17,0,0.928,0,0.311,0
1135.58,9,0,0.795,0,0.042,0
594.15,7,0,0.937,0,0.364,0
677.36,4,9.11,0.917,0,0.205,0
1668.28,21,0,0.799,0,0.348,0
2059.08,13,17.55,0.52,0,0.291,0
1221.6,19,0,0.647,0,0.139,0
1616.87,12,37.27,0.929,0,0.037,0
5548.45,2,16.5,0.972,0,0.107,0
6280.95,19,0,0.873,0,0.405,0
3656.96,8,0,0.93,0,0.35,0
4386.44,10,0,0.911,0,0.384,0
911.08,1,15.9,0.667,1,0.295,0
2514.7,3,0,0.877,1,0.399,1
680.86,19,0,0.892,0,0.215,0
2545.0,8,0,0.691,0,0.057,0
1001.61,17,9.35,0.696,1,0.182,0
3784.89,21,0,0.786,0,0.382,0
1649.67,20,9.83,0.691,0,0.546,0
709.81,6,18.7,0.85,0,0.249,0
1046.81,5,26.17,0.616,1,0.141,0
3365.78,12,0,0.838,0,0.584,0
1168.68,16,38.64,0.721,1,0.251,0
1644.43,11,1.83,0.749,0,0.459,0
1401.56,11,7.82,0.82,1,0.305,0
1789.59,0,14.31,0.619,1,0.464,0
828.56,9,7.23,0.586,0,0.231,0
332.39,6,0,0.616,0,0.322,0
2766.0,14,10.24,0.772,0,0.469,0
7727.45,9,5.04,0.575,0,0.32,0
782.74,17,0,0.674,0,0.266,0
1406.75,9,19.14,0.955,0,0.126,0
809.4,13,17.18,0.778,0,0.178,0
910.6,15,0,0.649,0,0.211,0
3429.71,7,16.91,0.689,1,0.301,0
949.94,3,26.8,0.746,0,0.486,0
806.74,6,6.24,0.751,0,0.115,0
681.72,17,9.33,0.892,0,0.394,0
2922.48,21,1.3,0.604,0,0.39,0
1273.66,21,0,0.858,0,0.345,0
6168.7,13,15.55,0.789,0,0.182,0
696.23,9,15.16,0.693,0,0.214,0
838.78,22,0,0.727,0,0.332,0
12447.3,9,34.67,0.829,0,0.321,0
819.38,4,4.21,0.903,0,0.314,0
1333.86,14,29.21,0.805,1,0.109,0
1840.41,14,0,0.829,0,0.485,0
9672.95,15,30.22,0.3,0,0.265,0
1584.71,19,0,0.611,0,0.27,0
11717.62,11,9.62,0.691,0,0.422,0
848.63,21,14.8,0.908,1,0.335,0
662.0,22,17.04,0.655,0,0.19,0
3712.87,4,6.77,0.828,0,0.309,0
966.87,15,18.21,0.721,0,0.052,0
1183.51,19,24.51,0.93,0,0.15,0
166.49,12,21.52,0.668,0,0.244,0
2838.87,1,38.11,0.699,1,0.157,0
6657.79,21,3.29,0.961,1,0.287,0
296.1,15,37.49,0.916,0,0.188,0
3730.81,21,5.56,0.754,0,0.272,0
1363.48,23,7.18,0.568,0,0.395,0
3464.42,20,25.04,0.853,0,0.23,0
10622.14,4,30.51,0.38,0,0.156,1
818.31,17,0,0.922,0,0.116,0
968.24,22,44.35,0.643,0,0.274,0
14777.67,22,43.65,0.694,0,0.466,0
1678.37,12,0,0.86,0,0.107,0
3492.43,5,19.62,0.799,0,0.271,0
1124.0,1,21.37,0.888,0,0.142,0
11756.67,21,20.14,0.59,0,0.528,0
3249.29,0,0,0.927,0,0.237,0
2005.71,22,0,0.521,0,0.236,0
4138.31,19,7.48,0.954,0,0.165,0
2582.49,1,6.54,0.85,0,0.341,0
1032.83,9,14.46,0.627,0,0.321,0
460.2,21,0,0.748,0,0.123,0
1529.63,13,0,0.705,0,0.11,0
3639.49,3,34.67,0.802,0,0.177,0
2124.73,9,0,0.701,0,0.44,0
599.2,22,1.47,0.825,0,0.507,0
420.88,2,4.03,0.681,0,0.022,0
1778.6,21,3.51,0.886,0,0.359,0
2036.41,19,0,0.908,0,0.111,0
11170.91,3,10.89,0.667,0,0.634,0
1633.71,3,39.51,0.891,1,0.442,1
2547.21,12,9.02,0.844,0,0.15,0
1175.67,13,6.77,0.699,0,0.173,0
1876.67,12,0,0.685,1,0.196,0
734.19,22,8.46,0.507,0,0.129,0
1294.52,2,35.8,0.847,0,0.325,1
629.18,11,5.3,0.831,0,0.212,0
7065.47,4,0,0.8,0,0.315,0
372.5,20,12.04,0.843,0,0.451,0
6946.38,11,0,0.787,1,0.248,0
2651.67,1,13.11,0.83,1,0.241,0
2435.57,0,6.54,0.871,0,0.156,0
646.95,1,0,0.852,0,0.411,0
1128.13,19,0,0.795,0,0.297,0
590.99,19,0,0.671,0,0.098,0
768.11,5,0,0.818,0,0.106,0
963.24,13,8.98,0.611,0,0.028,0
1123.76,4,40.84,0.68,1,0.065,1
1715.9,17,0.49,0.876,0,0.214,0
326.27,3,0,0.876,0,0.103,0
1497.37,5,4.33,0.936,0,0.02,0
917.84,15,0.27,0.9,0,0.445,0
2909.84,4,15.03,0.721,0,0.303,0
2838.69,0,0,0.769,0,0.127,0
571.9,17,40.63,0.929,0,0.687,0
5014.19,2,2.16,0.9,0,0.592,0
1496.95,14,12.53,0.59,1,0.345,0
7624.15,22,0,0.815,0,0.268,0
2188.34,22,0,0.913,0,0.287,0
582.64,17,10.56,0.963,0,0.21,0
1748.23,2,9.84,0.79,0,0.345,0
2853.48,4,7.32,0.568,1,0.259,0
1000.68,21,0,0.681,0,0.506,0
1410.78,19,0,0.772,1,0.044,0
6962.74,14,0,0.754,0,0.456,0
2429.65,3,40.21,0.787,0,0.227,1
1372.98,21,47.83,0.497,0,0.096,0
12526.97,11,18.94,0.93,0,0.188,0
3491.55,8,0,0.921,0,0.527,0
1179.87,22,13.3,0.875,0,0.078,0
1681.9,5,23.7,0.734,0,0.139,0
14541.08,23,4.55,0.864,0,0.307,0
9618.83,20,14.67,0.748,0,0.099,0
1849.36,22,6.7,0.81,0,0.297,0
1106.4,5,0,0.866,0,0.09,0
523.32,18,4.1,0.717,1,0.579,0
12918.03,23,0,0.899,0,0.828,0
2041.15,10,29.64,0.672,0,0.285,0
7569.7,13,10.82,0.631,0,0.403,0
2806.04,2,31.43,0.678,0,0.481,0
4199.36,8,1.51,0.934,0,0.106,0
1245.72,0,0,0.703,0,0.322,0
8483.81,3,55.24,0.755,0,0.387,1
834.2,2,0.8,0.83,0,0.399,0
4535.9,12,29.26,0.894,0,0.329,0
1400.85,11,24.04,0.934,1,0.355,0
6170.02,0,28.51,0.861,0,0.402,0
578.41,10,26.01,0.894,0,0.09,0
1037.87,10,11.87,0.898,1,0.241,1
2051.07,14,0,0.773,0,0.13,0
3052.08,11,0,0.783,0,0.677,0
680.47,13,19.21,0.588,0,0.251,0
1140.86,22,0,0.884,0,0.366,0
1622.15,16,0,0.722,0,0.206,0
3848.07,20,7.06,0.788,0,0.093,0
3445.77,14,0,0.935,0,0.206,0
499.11,21,0,0.573,0,0.053,0
513.1,4,36.36,0.823,0,0.105,0
2639.81,3,0,0.903,0,0.585,0
1091.21,6,0,0.701,1,0.294,0
935.26,2,14.74,0.691,1,0.143,0
1713.44,0,19.67,0.596,0,0.16,0
800.2,11,0,0.727,0,0.157,0
1397.92,18,15.21,0.867,0,0.397,0
513.38,10,0,0.68,0,0.187,0
1789.49,14,17.86,0.879,0,0.342,0
3403.37,15,2.53,0.815,0,0.084,0
1676.13,21,22.94,0.882,0,0.373,0
991.39,17,11.99,0.751,0,0.297,0
1126.24,13,20.16,0.964,1,0.083,0
14294.42,9,35.35,0.69,0,0.314,0
2587.37,1,17.56,0.664,0,0.169,0
3939.66,0,15.18,0.865,0,0.417,0
5113.09,15,0,0.697,0,0.304,0
2493.17,23,4.88,0.924,0,0.126,0
775.29,3,0,0.859,0,0.199,0
3055.68,5,0,0.679,1,0.298,0
3558.44,21,31.01,0.788,0,0.24,0
910.77,12,11.35,0.757,0,0.148,0
3398.37,13,9.51,0.578,0,0.148,0
2030.4,15,0,0.505,0,0.277,0
5161.8,13,12.71,0.847,0,0.534,0
1804.08,17,24.32,0.909,1,0.274,0
221.0,12,0,0.596,1,0.353,0
509.62,8,5.81,0.875,0,0.656,0
2383.76,1,4.85,0.781,0,0.214,0
1100.81,7,13.02,0.82,0,0.657,0
1458.53,4,8.68,0.603,0,0.288,1
985.15,17,0,0.769,1,0.289,0
1726.6,2,0,0.793,0,0.602,0
3528.35,7,0,0.958,0,0.457,0
300.19,6,6.01,0.8,0,0.214,0
